index,player,surface
1,Taylor Fritz,hard
2,Cameron Norrie,hard
3,Shintaro Mochizuki,hard
4,Tomas Martin Etcheverry,hard
5,Sho Shimabukuro,hard
6,Cristian Garin,hard
7,Alexei Popyrin,hard
8,Karen Khachanov,hard
9,Alex De Minaur,hard
10,Jack Draper,hard
11,Francisco Cerundolo,hard
12,Diego Schwartzman,hard
13,Zhizhen Zhang,hard
14,Hubert Hurkacz,hard
15,Aslan Karatsev,hard
16,Frances Tiafoe,hard
17,Tommy Paul,hard
18,Daniel Altmaier,hard
19,Mackenzie Mcdonald,hard
20,Max Purcell,hard
21,Ben Shelton,hard
22,Taro Daniel,hard
23,Jordan Thompson,hard
24,Alexander Zverev,hard
25,Felix Auger Aliassime,hard
26,Aleksandar Vukic,hard
27,Sebastian Ofner,hard
28,Christopher Oconnell,hard
29,Yoshihito Nishioka,hard
30,Marcos Giron,hard
31,Yosuke Watanuki,hard
32,Casper Ruud,hard
